League,Week,Date,Time,Team,HA,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
NFL,250107t,1/4/25,13:00:00,BROWNS,HA,RAVENS,GAME,SPREAD,+18
NFL,250107t,1/4/25,13:00:00,STEELERS,HA,BENGALS,GAME,UNDER,48.5
NFL,250107t,1/5/25,13:00:00,PATS,HA,BILLS,GAME,SPREAD,+2
NFL,250107t,1/5/25,13:00:00,TITANS,HA,TEXANS,GAME,SPREAD,-1
NFL,250107t,1/5/25,13:00:00,JAGS,HA,COLTS,GAME,UNDER,44
NFL,250107t,1/5/25,13:00:00,COWBOYS,HA,COMMANDERS,GAME,SPREAD,+4.5
NFL,250107t,1/5/25,13:00:00,SAINTS,HA,BUCS,HALF_1,SPREAD,+7.5
NFL,250107t,1/5/25,13:00:00,PANTHERS,HA,FALCONS,HALF_1,SPREAD,+4.5
NFL,250107t,1/5/25,13:00:00,PANTHERS,HA,FALCONS,GAME,UNDER,48
NFL,250107t,1/5/25,13:00:00,BEARS,HA,PACKERS,HALF_1,SPREAD,+7
NFL,250107t,1/5/25,13:00:00,RAIDERS,HA,CHARGERS,GAME,SPREAD,+5
NFL,250107t,1/5/25,13:00:00,RAMS,HA,SEATTLE,GAME,SPREAD,+6.5
NFL,250107t,1/5/25,13:00:00,JETS,HA,DOLPHINS,GAME,SPREAD,+1
NFL,250107t,1/5/25,13:00:00,CHIEFS,HA,BRONCOS,HALF_1,SPREAD,+7
NFL,250107t,1/5/25,13:00:00,LIONS,HA,VIKINGS,GAME,SPREAD,-3
NFL,250107t,1/5/25,13:00:00,LIONS,HA,VIKINGS,HALF_1,UNDER,28.5
NFL,250107t,1/5/25,13:00:00,COWBOYS,HA,COMMANDERS,GAME,MONEY,+195
NFL,250107t,1/5/25,13:00:00,PANTHERS,HA,FALCONS,GAME,MONEY,+350
NFL,250107t,1/5/25,13:00:00,RAIDERS,HA,CHARGERS,GAME,MONEY,+185
NFL,250107t,1/5/25,13:00:00,JETS,HA,DOLPHINS,GAME,MONEY,+100
PROP,250107t,1/5/25,13:00:00,SEATTLE TE FANT,HA,RECEPTIONS +140,PROP,UNDER,2.5
PROP,250107t,1/5/25,13:00:00,DEN RB ESTIME,HA,RUSHES,PROP,UNDER,6.5
PROP,250107t,1/5/25,13:00:00,TB RB IRVING,HA,RECEPTIONS,PROP,UNDER,2.5
