NFL,18,1/6/24,16,RAVENS,,STEELERS,GAME,SPREAD,+4,0,0,0,, 
NFL,18,1/6/24,16,TEXANS,,COLTS,GAME,SPREAD,-1,0,0,0,, 
NFL,18,1/7/24,13,PATS,,JETS,GAME,SPREAD,-1.5,0,0,0,, 
NFL,18,1/7/24,13,TITANS,,JAGS,GAME,SPREAD,+5.5,0,0,0,, 
NFL,18,1/7/24,13,TITANS,,JAGS,GAME,MONEY,+185,0,0,0,, 
NFL,18,1/7/24,13,PANTHERS,,BUCS,GAME,SPREAD,+4.5,0,0,0,, 
NFL,18,1/7/24,13,PANTHERS,,BUCS,GAME,MONEY,+185,0,0,0,, 
NFL,18,1/7/24,13,BENGALS,,BROWNS,GAME,SPREAD,-7,0,0,0,, 
NFL,18,1/7/24,16,WASHINGTON,,COWBOYS,HALF_1,SPREAD,+7.5,0,0,0,, 
NFL,18,1/7/24,16,RAMS,,49ERS,HALF_1,SPREAD,+3,0,0,0,, 
NFL,18,1/7/24,16,GIANTS,,EAGLES,GAME,SPREAD,+5,0,0,0,, 
NFL,18,1/7/24,16,GIANTS,,EAGLES,GAME,MONEY,+195,0,0,0,, 
NFL,18,1/7/24,16,PACKERS,,BEARS,GAME,SPREAD,-3,0,0,0,, 
NFL,18,1/7/24,16,CARDINALS,,SEATTLE,GAME,SPREAD,+3,0,0,0,, 
NFL,18,1/7/24,16,CARDINALS,,SEATTLE,GAME,MONEY,+115,0,0,0,, 
NFL,18,1/7/24,16,BRONCOS,,RAIDERS,GAME,SPREAD,+3,0,0,0,, 
NFL,18,1/7/24,20,DOLPHINS,,BILLS,GAME,SPREAD,+3,0,0,0,, 
NFL,18,1/7/24,20,DOLPHINS,,BILLS,HALF_1,UNDER,24.5,0,0,0,, 
